id;id_gestor_departamento;nome;descricao
1;9342;Carlos Silva;Gestão de Projetos de TI
2;14758;Ana Souza;Coordenação de Marketing Digital
3;22300;Roberto Lima;Desenvolvimento de Sistemas Web
4;29668;Fernanda Costa;Análise de Dados e BI
5;5404;Juliana Pereira;Suporte Técnico e Infraestrutura
6;780;Lucas Almeida;Recursos Humanos
7;4218;Patrícia Ramos;Planejamento Estratégico
8;13554;Marcelo Oliveira;Pesquisa e Desenvolvimento
9;19138;Cláudia Nunes;Finanças e Contabilidade
10;30115;João Mendes;Operações e Logística
